island_code,atoll,island_name
LD0373,Gaafu Alifu,Funadhooviligillaa
LD0374,Shaviyani,Farukolhu
LD0375,Alifu Alifu,Halaveli
LD0376,Gaafu Alifu,Medhehuttaa
LD0377,Kaafu,Kan'doomaafushi
LD0378,Seenu,Dheeron'di
LD0380,Gaafu Alifu,Dhevvalaabadhoo
LD0381,Gaafu Dhaalu,Lonudhoo
LD0382,Gaafu Dhaalu,Uhehootirataa
LD0383,Gaafu Alifu,Raaverrehaa
LD0384,Seenu,Mulikede
LD0385,Raa,Hiraveri
LD0386,Thaa,Hon'delifushi
LD0387,Noonu,Kedhivaru
LD0388,Alifu Dhaalu,Huruelhi
LD0389,Kaafu,Dhoonidhoo
LD0390,Kaafu,Farukolhufushi
LD0391,Noonu,Kudafari
LD0392,Noonu,Manadhoo
LD0393,Gaafu Dhaalu,Dherukerehaa
LD0394,Lhaviyani,Bodufinolhu
LD0395,Gaafu Dhaalu,Farukolhuhuttaa
LD0396,Gaafu Alifu,Viligalaa
LD0397,Gaafu Dhaalu,Maarehaa
LD0399,Kaafu,Ziyaaraiyfushi
LD0400,Dhaalu,Kan'dinmaa
LD0401,Raa,Muravandhoo
LD0402,Shaviyani,Mathikomandoo
LD0404,Raa,Dhikkurehdhoo
LD0405,Alifu Alifu,Etheremadivaru
LD0406,Haa Dhaalu,Vaikaradhoo
LD0407,Gaafu Dhaalu,Kurehdhoo
LD0408,Haa Alifu,Beenaafushi
LD0409,Noonu,Ehdhuffarumairah
LD0410,Baa,Gaavilin'gili
LD0411,Alifu Alifu,Velidhoo
LD0412,Gaafu Alifu,Dhevvadhoo
LD0414,Laamu,Kudarah
LD0415,Kaafu,Olhigan'dufinolhu
LD0416,Haa Dhaalu,Nolhivaranfaru
LD0417,Faafu,Minimasgali
LD0418,Baa,Bodufinolhu
LD0419,Alifu Dhaalu,Huvahendhoo
LD0420,Vaavu,Rakeedhoo
LD0421,Noonu,Kuramaadhoo
LD0422,Thaa,Kin'bidhoo
LD0423,Raa,Rasmaadhoo
LD0424,Shaviyani,Kan'baalifaru
LD0425,Gaafu Dhaalu,Havodigalaa
LD0427,Thaa,Gaadhiffushi
LD0428,Raa,Uthurumaafaru
LD0430,Gaafu Dhaalu,Gazeeraa
LD0431,Gaafu Dhaalu,Baulhegalla
LD0432,Laamu,Kalhurahaa
LD0433,Haa Alifu,Gaamathikulhudhoo
LD0434,Raa,Thaavathaa
LD0435,Gaafu Alifu,Kon'dey
LD0436,Kaafu,Madivaru
LD0437,Meemu,Seedheehuraaveligan'du
LD0438,Baa,Hibalhidhoo
LD0439,Gaafu Dhaalu,Faathiyehuttaa
LD0440,Baa,Dhigufaruvinagan'du
LD0441,Haa Dhaalu,Finey
LD0442,MLE,Maale
LD0443,Gaafu Alifu,Kooddoo
LD0444,Raa,Aarah
LD0445,Meemu,Erruhhuraa
LD0446,Meemu,Muli
LD0447,Gaafu Dhaalu,Dhoonirehaa
LD0448,Dhaalu,Dhoores
LD0449,Thaa,Kudakin'bidhoo
LD0450,Gaafu Dhaalu,Isdhuhuttaa
LD0451,Baa,Fonimagoodhoo
LD0452,Alifu Dhaalu,Heenfaru
LD0453,Noonu,Maafunafaru
LD0454,Baa,Anhenunfushi
LD0455,Noonu,Holhudhoo
LD0456,Gaafu Alifu,Kisserahaa
LD0457,Gaafu Alifu,Bakehthaa
LD0458,Haa Alifu,Alidhuffarufinolhu
LD0459,Alifu Dhaalu,Dhihdhoo
LD0460,Thaa,Vanbadhi
LD0461,Alifu Dhaalu,Mirihi
LD0462,Gaafu Alifu,Meradhoo
LD0463,Shaviyani,Raggan'duhuraa
LD0464,Lhaviyani,Vihafarufinolhu
LD0465,Shaviyani,Migoodhoo
LD0466,Baa,Nelivarufinolhu
LD0467,Gaafu Alifu,Kaludirehaa
LD0468,Kaafu, 
LD0469,Lhaviyani,Meyyafushi
LD0470,Gaafu Dhaalu,Fiyoari
LD0471,Thaa,Fushi
LD0472,Laamu,Bokaiyfushi
LD0473,Kaafu,Lhohifushi
LD0474,Alifu Alifu,Bodufolhudhoo
LD0475,Gaafu Alifu, 
LD0477,Raa,Fasmendhoo
LD0478,Raa,Kudafenmaaen'boodhoo
LD0479,Gaafu Dhaalu,Maadhoo
LD0480,Shaviyani,Hirubadhoo
LD0481,Gaafu Dhaalu,Dhigurehaa
LD0482,Kaafu,Olhuhali
LD0483,Kaafu,Funadhoo
LD0484,Laamu,Maamendhoo
LD0485,Shaviyani,Dhiguvelidhoomairah
LD0486,Gaafu Dhaalu, 
LD0487,Haa Dhaalu,Kuredhigan'du
LD0488,Haa Alifu,Uligamu
LD0489,Haa Dhaalu,Kudafarufasgandu
LD0490,Lhaviyani,Maafilaafushi
LD0491,Shaviyani,Eriadhoo
LD0492,Kaafu,Kudahithi
LD0493,Raa,Dheburidheythereyvaadhoo
LD0494,Haa Alifu,Un'gulifinolhu
LD0495,Kaafu,Gaagan'du
LD0496,Raa,Kudathulhaadhoo
LD0497,Noonu,Velidhoo
LD0498,Meemu, 
